Question,Answer
What is the price for cosmetic box production?,What kind of box is it?
What is the price for cosmetic box production?,Do you have sample images?
What is the price for cosmetic box production?,Do you have a job file to submit for valuation?
What is the price for cosmetic box production?,Does the customer have a desired box style in mind?
What is the price?,What type of work is it?
What is the price?,Do you have sample images?
What is the price?,how much
What is the price?,what size
I want to request a quotation form,"Please ask for details, name, address, phone number. taxpayer number in issuing a bid."
I want to request a quotation form,Where do you deliver?
How many days for the production?,Production period 7-10 working days after confirming the mock-up.
Where can I send the .ai file?,You can send files via this email. fastboxs.info@gmail.com
where is your factory?,"Our factory is located at Soi Bang Khae 12, Bangkok."
I want to make a perfume box that can fit a bottle of this size.,what size
I want to make a perfume box that can fit a bottle of this size.,Do you have a model?
I want to make a perfume box that can fit a bottle of this size.,what size
I want to make a perfume box that can fit a bottle of this size.,If you don't know the box size can be measured from the size of the packaging in case of size 1-1.5 cm. on each side
I'd like to see the price for a box.,What kind of box is it?
I'd like to see the price for a box.,how much
I'd like to see the price for a box.,Do you have a model?
"Normal box. The dimensions are 13 x 8.5 x 3 cm. When unfolded, it's not bigger than A4, how much is it?",It's a plug-in box.
"Normal box. The dimensions are 13 x 8.5 x 3 cm. When unfolded, it's not bigger than A4, how much is it?",Is there a special technical job?
"Normal box. The dimensions are 13 x 8.5 x 3 cm. When unfolded, it's not bigger than A4, how much is it?",how much
I want boxes for my 30ml dropper oil. How much does it cost for a box for this?,It's a plug-in box.
I want boxes for my 30ml dropper oil. How much does it cost for a box for this?,Is there a special technical job?
Is there a template for the top open box?,Do you have a sample picture of the box?
Is there a fee for the drafting?,No
"With a budget of ten thousand baht, what kind of boxes can you make?",What type of work does the client want?
"With a budget of ten thousand baht, what kind of boxes can you make?",Do you have sample images?
"With a budget of ten thousand baht, what kind of boxes can you make?",how much
"With a budget of ten thousand baht, what kind of boxes can you make?",Interested in a box with a lid that plugs into the bottom?
"With a budget of ten thousand baht, what kind of boxes can you make?",Is there a special technical job?
"With a budget of ten thousand baht, what kind of boxes can you make?",what size
Where can I see product samples?,You can see examples and works on the website. https://www.fastboxs.com/
What kind of coating do you have?,glossy laminate finish
What kind of coating do you have?,Matte Lamination
What kind of technique can you add to the box?,Spot UV
What kind of technique can you add to the box?,shiny silver k pump
What kind of technique can you add to the box?,Shiny gold pump
What kind of technique can you add to the box?,embossing
What kind of technique can you add to the box?,submersible pump
What kind of technique can you add to the box?,next to the window
What is the price of a box (unfolded no more than A4)?,how much
What is the price of a box (unfolded no more than A4)?,What are the customers looking for a packaging box for packing?
I need soap box,how much
I need soap box,Do you have a model?
I need soap box,what size
I need soap box,Did you pierce the window?
I need soap box,Is it plastic?
Can you make plug-in boxes in 7 days?,Is there a ready one?
Can you make plug-in boxes in 7 days?,how much
Can you make plug-in boxes in 7 days?,When do you use it?
Can you start with 100 pieces?,What kind of job are clients looking for?
Can you start with 100 pieces?,what size
Can you start with 100 pieces?,Is there a special technical job?
Can you start with 100 pieces?,Is it box work?
Do you accept design?,Manufacturing and designing too.
Do you accept design?,What type of work is it?
"Hello, I would like to inquire if you order to print the box as in the picture, both specification and size. How much is it?",How many cards are customers interested in producing?
"Empty box, not coated / 1000 pieces, how much per box?","Hello, please let me know the size of the box you want."
Interested in ordering a box for false eyelashes?,"Hello, please let me know the size you want."
